"利用日","利用店名・商品名","利用者","支払方法","利用金額","手数料/利息","支払総額","支払月","2月支払金額","3月繰越残高","3月以降支払金額"
"2026/01/27","ＪＣＢ国内利用　QP  ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","1160","0","1160","2月","1160","0",""
"2026/01/26","ＶＩＳＡ国内利用　VS ﾍﾞｲｼｱ","本人","1回払い","579","0","579","2月","579","0",""
"2026/01/26","ＶＩＳＡ国内利用　VS ﾍﾞｲｼｱ","本人","1回払い","580","0","580","2月","580","0",""
"2026/01/26","ＪＣＢ国内利用　QP  ﾛｰｿﾝ","本人","1回払い","254","0","254","2月","254","0",""
"2026/01/25","ＪＣＢ国内利用　QP  ﾛｰｿﾝ","本人","1回払い","580","0","580","2月","580","0",""
"2026/01/24","ＶＩＳＡ国内利用　VS ﾏﾙｹﾞﾝﾗ-ﾒﾝｺ-ｽｶﾍﾞｲｻ","本人","1回払い","2376","0","2376","2月","2376","0",""
"2026/01/24","ＪＣＢ国内利用　QP  ｽｷﾔ","本人","1回払い","450","0","450","2月","450","0",""
"2026/01/24","ＪＣＢ国内利用　QP  ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","580","0","580","2月","580","0",""
"2026/01/24","返済方法変更ＷＥＢ　100915ｺ-ｽｶ ﾍﾞｲｻｲﾄﾞ ｽ","本人","分割変更3回払い(1回目)","19200","391","19591","2月","6531","13060",""
"","購入金額：\19200 / 分割変更金額：\19200","","","","","","","","",""
"2026/01/23","Ｓｕｉｃａ（携帯決済）","本人","1回払い","1000","0","1000","2月","1000","0",""
"2026/01/23","Ｓｕｉｃａ（携帯決済）","本人","1回払い","1000","0","1000","2月","1000","0",""
"2026/01/23","ＪＣＢ国内利用　QP  ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","195","0","195","2月","195","0",""
"2026/01/23","ＪＣＢ国内利用　QP  ｵｵｲﾋﾟ-ｴ-ﾋｶﾞｼ","本人","1回払い","880","0","880","2月","880","0",""
"2026/01/23","ＪＣＢ国内利用　QP  ﾈｵｽ ｲﾝﾘﾖｳｼﾞﾊﾝｷ","本人","1回払い","130","0","130","2月","130","0",""
"2026/01/22","ＪＣＢ国内利用　QP  ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","1160","0","1160","2月","1160","0",""
"2026/01/22","ＪＣＢ国内利用　QP  ﾛｰｿﾝ","本人","1回払い","343","0","343","2月","343","0",""
"2026/01/21","ＶＩＳＡ国内利用　VS ﾍﾞｲｼｱ","本人","1回払い","422","0","422","2月","422","0",""
"2026/01/21","ＪＣＢ国内利用　QP  ﾛｰｿﾝ","本人","1回払い","1525","0","1525","2月","1525","0",""
"2026/01/20","ＪＣＢ国内利用　QP  ﾛｰｿﾝ","本人","1回払い","839","0","839","2月","839","0",""
"2026/01/20","ＪＣＢ国内利用　QP  ｸﾘｴｲﾄｴｽ ﾃﾞｲ-","本人","1回払い","429","0","429","2月","429","0",""
